s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7
 1.3263489E+001, 1.9635303E+002,-3.9687654E+001, 5.6046707E-001,-6.8621045E+000,-1.3511765E-002, 5.9720439E+001, 0.0000000E+000, 2.0572715E+002, 2.1007067E+002, 3.4279294E+001, 4.3923559E-003, 0.0000000E+000, 3.3527421E+002,-2.9826999E+000,-2.9929151E+000,-2.9587593E+000,-2.9303275E+000,-2.9656023E+000,-2.9511312E+000
 1.3538284E+001, 1.9835702E+002,-3.8200175E+001, 5.7413123E-001,-7.0949436E+000,-1.3812354E-002, 6.1256385E+001, 0.0000000E+000, 2.1199364E+002, 2.1487861E+002, 3.4279294E+001, 4.4821995E-003, 0.0000000E+000, 3.4871324E+002,-2.9799657E+000,-2.9917857E+000,-2.9585178E+000,-2.9302375E+000,-2.9640332E+000,-2.9515236E+000
 1.3813079E+001, 2.0197558E+002,-3.8781435E+001, 5.8657167E-001,-7.3892250E+000,-1.4092204E-002, 6.2258345E+001, 0.0000000E+000, 2.1515724E+002, 2.1863575E+002, 3.4279294E+001, 4.5720432E-003, 0.0000000E+000, 3.6235114E+002,-2.9749693E+000,-2.9904727E+000,-2.9582306E+000,-2.9301796E+000,-2.9636325E+000,-2.9518914E+000
 1.4225271E+001, 2.0698028E+002,-4.0974882E+001, 6.0084300E-001,-7.8566052E+000,-1.4438254E-002, 6.3445800E+001, 0.0000000E+000, 2.2009714E+002, 2.2218100E+002, 3.4279294E+001, 4.6885071E-003, 0.0000000E+000, 3.8327627E+002,-2.9644730E+000,-2.9883543E+000,-2.9576161E+000,-2.9292434E+000,-2.9644950E+000,-2.9520338E+000
 1.4500066E+001, 2.1196944E+002,-4.3802401E+001, 6.1498796E-001,-8.4311676E+000,-1.4784591E-002, 6.3952103E+001, 0.0000000E+000, 2.2122169E+002, 2.2428817E+002, 3.4279294E+001, 4.8016436E-003, 0.0000000E+000, 3.9730268E+002,-2.9571066E+000,-2.9874637E+000,-2.9571138E+000,-2.9276294E+000,-2.9654314E+000,-2.9518230E+000
 1.4774861E+001, 2.1551132E+002,-4.2616981E+001, 6.2655293E-001,-8.9504705E+000,-1.5068730E-002, 6.5459752E+001, 0.0000000E+000, 2.2583867E+002, 2.3001511E+002, 3.4279294E+001, 4.8914872E-003, 0.0000000E+000, 4.1162188E+002,-2.9509615E+000,-2.9874509E+000,-2.9566145E+000,-2.9254065E+000,-2.9662761E+000,-2.9514811E+000
 1.5049656E+001, 2.2013648E+002,-4.4922452E+001, 6.3852721E-001,-9.4998029E+000,-1.5359311E-002, 6.6305722E+001, 0.0000000E+000, 2.2923983E+002, 2.3264312E+002, 3.4279294E+001, 4.9863222E-003, 0.0000000E+000, 4.2615604E+002,-2.9471034E+000,-2.9883817E+000,-2.9561831E+000,-2.9233851E+000,-2.9668470E+000,-2.9511237E+000
 1.5324450E+001, 2.2575783E+002,-4.6660888E+001, 6.5114822E-001,-1.0013012E+001,-1.5620911E-002, 6.7619917E+001, 0.0000000E+000, 2.3368017E+002, 2.3733937E+002, 3.4279294E+001, 5.0761658E-003, 0.0000000E+000, 4.4097003E+002,-2.9460611E+000,-2.9898716E+000,-2.9558673E+000,-2.9225435E+000,-2.9670740E+000,-2.9508602E+000
 1.5736643E+001, 2.3239922E+002,-4.8533324E+001, 6.6755181E-001,-1.0583235E+001,-1.5966087E-002, 6.9382445E+001, 0.0000000E+000, 2.4006978E+002, 2.4331669E+002, 3.4279294E+001, 5.1909660E-003, 0.0000000E+000, 4.6379534E+002,-2.9495600E+000,-2.9919293E+000,-2.9557367E+000,-2.9243862E+000,-2.9671207E+000,-2.9510019E+000
 1.6011438E+001, 2.3934248E+002,-5.2319716E+001, 6.8432337E-001,-1.1088464E+001,-1.6329611E-002, 7.0329392E+001, 0.0000000E+000, 2.4288150E+002, 2.4693168E+002, 3.4279294E+001, 5.3057662E-003, 0.0000000E+000, 4.7919153E+002,-2.9544274E+000,-2.9931629E+000,-2.9559496E+000,-2.9274780E+000,-2.9673887E+000,-2.9516688E+000
 1.6286232E+001, 2.4497912E+002,-5.1709648E+001, 6.9788318E-001,-1.1464773E+001,-1.6625986E-002, 7.2484347E+001, 0.0000000E+000, 2.4978826E+002, 2.5497031E+002, 3.4279294E+001, 5.3956099E-003, 0.0000000E+000, 4.9502120E+002,-2.9603642E+000,-2.9943276E+000,-2.9564161E+000,-2.9310653E+000,-2.9682432E+000,-2.9528391E+000
 1.6561028E+001, 2.5006306E+002,-5.1794974E+001, 7.1154735E-001,-1.1855592E+001,-1.6922288E-002, 7.4485705E+001, 0.0000000E+000, 2.5742201E+002, 2.6159282E+002, 3.4279294E+001, 5.4854535E-003, 0.0000000E+000, 5.1132892E+002,-2.9665224E+000,-2.9953403E+000,-2.9570694E+000,-2.9343424E+000,-2.9698958E+000,-2.9543434E+000
 1.6835823E+001, 2.5464252E+002,-5.1507716E+001, 7.2535331E-001,-1.2284950E+001,-1.7214403E-002, 7.6225813E+001, 0.0000000E+000, 2.6346879E+002, 2.6778380E+002, 3.4279294E+001, 5.5802885E-003, 0.0000000E+000, 5.2801464E+002,-2.9721416E+000,-2.9963535E+000,-2.9577844E+000,-2.9370681E+000,-2.9722989E+000,-2.9558806E+000
 1.7138098E+001, 2.5532499E+002,-5.1438700E+001, 7.4050058E-001,-1.2776919E+001,-1.7487213E-002, 7.6528993E+001, 0.0000000E+000, 2.6525087E+002, 2.6836138E+002, 3.4279294E+001, 5.6751234E-003, 0.0000000E+000, 5.4649138E+002,-2.9771240E+000,-2.9975753E+000,-2.9585218E+000,-2.9394176E+000,-2.9755916E+000,-2.9573736E+000
 1.7440371E+001, 2.6056382E+002,-5.1546913E+001, 7.5668204E-001,-1.3349441E+001,-1.7775452E-002, 7.8273644E+001, 0.0000000E+000, 2.7117660E+002, 2.7468002E+002, 3.4279294E+001, 5.7749497E-003, 0.0000000E+000, 5.6537525E+002,-2.9805779E+000,-2.9990843E+000,-2.9591661E+000,-2.9410871E+000,-2.9793684E+000,-2.9586997E+000
 1.7742645E+001, 2.6382797E+002,-5.1813748E+001, 7.7318463E-001,-1.3960682E+001,-1.8092355E-002, 7.9373898E+001, 0.0000000E+000, 2.7549700E+002, 2.7818253E+002, 3.4279294E+001, 5.8747760E-003, 0.0000000E+000, 5.8455782E+002,-2.9826782E+000,-3.0009458E+000,-2.9597269E+000,-2.9417940E+000,-2.9834106E+000,-2.9599378E+000
